Date,Open,High,Low,Close,Adj Close,Volume
2021-09-18,0.2622,0.8389,0.2536,0.6319,503363736,503363736
2021-09-19,0.6338,0.776,0.5198,0.5447,330944071,330944071
2021-09-20,0.5451,0.5555,0.3865,0.3949,83368404,83368404
2021-09-21,0.3952,0.4375,0.344,0.3663,47823507,47823507
2021-09-22,0.365,0.4198,0.3639,0.3968,32596426,32596426
2021-09-23,0.3966,0.4335,0.3698,0.387,27955253,27955253
2021-09-24,0.387,0.42,0.3216,0.358,35592890,35592890
2021-09-25,0.3578,0.385,0.325,0.3449,29410034,29410034
2021-09-26,0.3447,0.3461,0.2891,0.3162,23342959,23342959
2021-09-27,0.3162,0.388,0.3064,0.3474,56750944,56750944
2021-09-28,0.3473,0.3773,0.31,0.3118,25799653,25799653
2021-09-29,0.3118,0.33,0.2866,0.2952,12336169,12336169
2021-09-30,0.2952,0.3139,0.2944,0.3057,8417919,8417919
2021-10-01,0.3059,0.3337,0.2978,0.3256,13841516,13841516
2021-10-02,0.3257,0.3411,0.3148,0.324,11698133,11698133
2021-10-03,0.3237,0.3749,0.315,0.3445,27415618,27415618
2021-10-04,0.3445,0.3679,0.3262,0.3468,19002827,19002827
2021-10-05,0.3466,0.3592,0.3279,0.3371,12267423,12267423
2021-10-06,0.3367,0.3469,0.3119,0.3257,10583620,10583620
2021-10-07,0.3255,0.34,0.3147,0.3213,10929954,10929954
2021-10-08,0.3215,0.3781,0.32,0.333,25066634,25066634
2021-10-09,0.3332,0.3579,0.3301,0.343,11575231,11575231
2021-10-10,0.3434,0.395,0.3283,0.3548,49514032,49514032
2021-10-11,0.3554,0.3661,0.3353,0.342,14185600,14185600
2021-10-12,0.3416,0.35,0.3005,0.3245,9676570,9676570
2021-10-13,0.3243,0.334,0.307,0.3162,8282652,8282652
2021-10-14,0.3167,0.345,0.3137,0.3366,11088934,11088934
2021-10-15,0.336,0.4238,0.3138,0.3732,58233851,58233851
2021-10-16,0.3736,0.3736,0.3409,0.3532,19950337,19950337
2021-10-17,0.3534,0.3578,0.3288,0.3375,9506970,9506970
2021-10-18,0.3376,0.3499,0.3262,0.3368,5734900,5734900
2021-10-19,0.3366,0.3455,0.328,0.3313,5486963,5486963
2021-10-20,0.3313,0.3581,0.3281,0.3433,8011955,8011955
2021-10-21,0.3428,0.3598,0.3315,0.3432,11291446,11291446
2021-10-22,0.3432,0.3519,0.331,0.3408,6112084,6112084
2021-10-23,0.3407,0.3441,0.3336,0.3398,3568466,3568466
2021-10-24,0.3391,0.3487,0.3241,0.3286,4581558,4581558
2021-10-25,0.3286,0.341,0.3261,0.3339,4437408,4437408
2021-10-26,0.334,0.35,0.3306,0.3358,9569033,9569033
2021-10-27,0.3358,0.3382,0.2963,0.2968,10473850,10473850
2021-10-28,0.2965,0.3171,0.2897,0.303,6494858,6494858
2021-10-29,0.3034,0.335,0.302,0.3166,8543274,8543274
2021-10-30,0.3167,0.335,0.2988,0.3098,6885050,6885050
2021-10-31,0.3102,0.321,0.2983,0.3154,7345263,7345263
2021-11-01,0.3154,0.3325,0.3065,0.3233,10393453,10393453
2021-11-02,0.3233,0.346,0.3202,0.3413,10464739,10464739
2021-11-03,0.3413,0.3413,0.3177,0.3288,7387986,7387986
2021-11-04,0.3288,0.337,0.3188,0.3251,7636793,7636793
2021-11-05,0.325,0.3795,0.3236,0.3466,24579276,24579276
2021-11-06,0.3468,0.3625,0.3251,0.3355,8947074,8947074
2021-11-07,0.3355,0.3424,0.3302,0.3416,5457795,5457795
2021-11-08,0.3416,0.3449,0.3291,0.3376,7369889,7369889
2021-11-09,0.3376,0.3376,0.3292,0.3302,5694177,5694177
2021-11-10,0.3302,0.3345,0.301,0.3124,8437273,8437273
2021-11-11,0.3121,0.3197,0.3071,0.3133,3501851,3501851
2021-11-12,0.3134,0.3214,0.2945,0.3125,6986135,6986135
2021-11-13,0.3125,0.32,0.3074,0.3112,3852526,3852526
2021-11-14,0.3112,0.3178,0.3061,0.3144,3417591,3417591
2021-11-15,0.3144,0.319,0.3061,0.3066,2921247,2921247
2021-11-16,0.3062,0.3065,0.2676,0.2769,5275922,5275922
2021-11-17,0.2769,0.2827,0.2681,0.2803,2977967,2977967
2021-11-18,0.2806,0.2974,0.2595,0.2626,5092903,5092903
2021-11-19,0.2628,0.28,0.2557,0.2755,2432961,2432961
2021-11-20,0.2755,0.2864,0.2683,0.2824,4081980,4081980
2021-11-21,0.2824,0.319,0.2803,0.2976,9890206,9890206
2021-11-22,0.2973,0.354,0.2958,0.3043,15893495,15893495
2021-11-23,0.3043,0.3043,0.2866,0.2913,3894783,3894783
2021-11-24,0.2911,0.2919,0.2727,0.2824,3966236,3966236
2021-11-25,0.2824,0.3095,0.282,0.2991,11610140,11610140
2021-11-26,0.2993,0.3069,0.2643,0.2667,8209135,8209135
2021-11-27,0.267,0.309,0.2653,0.3,5903331,5903331
2021-11-28,0.2999,0.349,0.2687,0.2858,18244152,18244152
2021-11-29,0.286,0.2885,0.2792,0.283,3433239,3433239
2021-11-30,0.283,0.2862,0.2705,0.2777,2873704,2873704
2021-12-01,0.278,0.2985,0.2723,0.2862,5838739,5838739
2021-12-02,0.2862,0.323,0.278,0.3074,14906876,14906876
2021-12-03,0.3077,0.3282,0.2874,0.2938,18431193,18431193
2021-12-04,0.2936,0.2942,0.1753,0.2357,7977365,7977365
2021-12-05,0.2352,0.2387,0.2081,0.2177,4722464,4722464
2021-12-06,0.2181,0.2293,0.1944,0.2262,4023684,4023684
2021-12-07,0.2265,0.2368,0.2145,0.2197,3709930,3709930
2021-12-08,0.2197,0.2557,0.2131,0.2392,6502698,6502698
2021-12-09,0.239,0.2647,0.2077,0.2085,5918080,5918080
2021-12-10,0.2084,0.2204,0.1992,0.2032,3496760,3496760
2021-12-11,0.2034,0.2282,0.1987,0.2103,3075529,3075529
2021-12-12,0.2108,0.2332,0.2059,0.2183,6511800,6511800
2021-12-13,0.2191,0.2214,0.1845,0.1918,2635886,2635886
2021-12-14,0.1917,0.2275,0.1884,0.1982,6258583,6258583
2021-12-15,0.1981,0.2198,0.196,0.208,4093635,4093635
2021-12-16,0.2074,0.2159,0.2041,0.2045,1721809,1721809
2021-12-17,0.2045,0.245,0.1974,0.2173,7710706,7710706
2021-12-18,0.2172,0.3043,0.214,0.2412,65846597,65846597
2021-12-19,0.2407,0.2524,0.2213,0.2222,6883345,6883345
2021-12-20,0.2224,0.2315,0.207,0.2151,5013171,5013171
2021-12-21,0.2158,0.2282,0.2144,0.2252,2775971,2775971
2021-12-22,0.2252,0.238,0.2188,0.2208,3128965,3128965
2021-12-23,0.2206,0.2354,0.2159,0.2318,3731731,3731731
2021-12-24,0.2323,0.243,0.2275,0.2299,2367913,2367913
2021-12-25,0.2299,0.2371,0.2254,0.2292,1895920,1895920
2021-12-26,0.2287,0.2308,0.2193,0.2277,1923552,1923552
2021-12-27,0.2275,0.239,0.226,0.2315,2363255,2363255
2021-12-28,0.2316,0.2316,0.2032,0.204,2765182,2765182
2021-12-29,0.204,0.2135,0.1937,0.197,2216499,2216499
2021-12-30,0.197,0.21,0.193,0.199,1847124,1847124
2021-12-31,0.199,0.208,0.195,0.1986,1410789,1410789
2022-01-01,0.1983,0.205,0.1978,0.2044,743189,743189
2022-01-02,0.2046,0.2439,0.1999,0.2264,9192568,9192568
2022-01-03,0.2265,0.2385,0.205,0.2099,5442090,5442090
2022-01-04,0.2094,0.2125,0.2029,0.2048,1751000,1751000
2022-01-05,0.205,0.2131,0.19,0.1997,2348894,2348894
2022-01-06,0.1997,0.2077,0.1887,0.1975,1769911,1769911
2022-01-07,0.1978,0.2001,0.1878,0.1922,1546772,1546772
2022-01-08,0.1926,0.1965,0.1727,0.1767,2223979,2223979
2022-01-09,0.1767,0.1978,0.1752,0.1826,1439217,1439217
2022-01-10,0.1827,0.1919,0.1695,0.1734,1422258,1422258
2022-01-11,0.1739,0.182,0.1723,0.1789,782614,782614
2022-01-12,0.1793,0.1881,0.1778,0.1844,1512690,1512690
2022-01-13,0.1849,0.1869,0.1755,0.1761,1041606,1041606
2022-01-14,0.1761,0.1796,0.1711,0.1764,1142412,1142412
2022-01-15,0.1773,0.1898,0.1761,0.1829,2089900,2089900
2022-01-16,0.1828,0.1887,0.18,0.1855,1640383,1640383
2022-01-17,0.1858,0.1889,0.1742,0.1768,1491901,1491901
2022-01-18,0.1768,0.1786,0.165,0.1716,1304897,1304897
2022-01-19,0.1717,0.1818,0.1664,0.1669,1464191,1464191
2022-01-20,0.167,0.1763,0.1621,0.1639,953426,953426
2022-01-21,0.164,0.1645,0.1223,0.1255,4467572,4467572
2022-01-22,0.1255,0.1286,0.0931,0.1073,3797890,3797890
2022-01-23,0.1072,0.1173,0.1014,0.1078,1960691,1960691
2022-01-24,0.1075,0.1077,0.0912,0.1035,2139319,2139319
2022-01-25,0.1035,0.1048,0.0981,0.1029,816207,816207
2022-01-26,0.1031,0.1148,0.102,0.1047,1774942,1774942
2022-01-27,0.1047,0.1097,0.1001,0.1067,1027496,1027496
2022-01-28,0.1066,0.1149,0.1062,0.1106,1345872,1345872
2022-01-29,0.1106,0.1188,0.1102,0.1152,2807450,2807450
2022-01-30,0.1154,0.1175,0.1071,0.1088,821744,821744
2022-01-31,0.109,0.1149,0.1045,0.1123,655423,655423
2022-02-01,0.1122,0.1147,0.1105,0.1128,641638,641638
2022-02-02,0.1129,0.118,0.1055,0.107,2084454,2084454
2022-02-03,0.1068,0.1129,0.1054,0.1101,1220750,1220750
2022-02-04,0.1101,0.1222,0.1094,0.1207,1656364,1656364
2022-02-05,0.1207,0.1769,0.1181,0.1458,34342863,34342863
2022-02-06,0.1457,0.172,0.1382,0.1428,29356158,29356158
2022-02-07,0.1428,0.1502,0.1394,0.1441,5463471,5463471
2022-02-08,0.1439,0.1449,0.1286,0.1344,3930567,3930567
2022-02-09,0.1344,0.1452,0.1309,0.1362,2586952,2586952
2022-02-10,0.1366,0.1385,0.1288,0.129,2207286,2207286
2022-02-11,0.129,0.152,0.1201,0.1231,7103549,7103549
2022-02-12,0.1231,0.1272,0.12,0.1224,1229961,1229961
2022-02-13,0.1224,0.1343,0.1202,0.1209,1502331,1502331
2022-02-14,0.1209,0.1307,0.1185,0.1251,1370233,1370233
2022-02-15,0.1252,0.1343,0.1247,0.1321,1561397,1561397
2022-02-16,0.132,0.1383,0.1268,0.1324,1836484,1836484
2022-02-17,0.1323,0.1347,0.119,0.1198,1474474,1474474
2022-02-18,0.1197,0.1224,0.1139,0.1145,1159150,1159150
2022-02-19,0.1148,0.1182,0.1116,0.1151,533807,533807
2022-02-20,0.1151,0.1151,0.1055,0.1096,878204,878204
2022-02-21,0.1096,0.115,0.1011,0.1017,1016870,1016870
2022-02-22,0.102,0.1157,0.0998,0.1082,1749875,1749875
2022-02-23,0.1083,0.1383,0.1068,0.1258,11019706,11019706
2022-02-24,0.126,0.1378,0.1133,0.1275,15485239,15485239
2022-02-25,0.1275,0.1675,0.127,0.1527,14404952,14404952
2022-02-26,0.1527,0.1838,0.1471,0.1694,12121432,12121432
2022-02-27,0.1694,0.1845,0.1382,0.1394,11901147,11901147
2022-02-28,0.1392,0.182,0.1366,0.1604,8814026,8814026
2022-03-01,0.1605,0.1623,0.1442,0.1455,5396374,5396374
2022-03-02,0.1454,0.1476,0.1348,0.1351,5246496,5246496
2022-03-03,0.135,0.1357,0.1239,0.1283,4111947,4111947
2022-03-04,0.1283,0.1334,0.12,0.1204,4091427,4091427
2022-03-05,0.1205,0.1455,0.1191,0.1324,4291742,4291742
2022-03-06,0.1323,0.1328,0.1181,0.1205,2554259,2554259
2022-03-07,0.1205,0.1318,0.1141,0.1188,2952084,2952084
2022-03-08,0.1188,0.1377,0.1181,0.1252,4942349,4942349
2022-03-09,0.1251,0.1326,0.123,0.1256,2628219,2628219
2022-03-10,0.1254,0.132,0.119,0.1236,3668733,3668733
2022-03-11,0.1237,0.1257,0.1164,0.1184,1756660,1756660
2022-03-12,0.1184,0.1229,0.1181,0.1182,774717,774717
2022-03-13,0.1182,0.1234,0.1168,0.1178,1274752,1274752
2022-03-14,0.1179,0.1234,0.1164,0.1189,1193603,1193603
2022-03-15,0.1188,0.119,0.1138,0.1146,1138356,1138356
2022-03-16,0.1146,0.1184,0.1125,0.1167,1188126,1188126
2022-03-17,0.1167,0.121,0.1161,0.1171,1589610,1589610
2022-03-18,0.117,0.1269,0.1136,0.1228,3153441,3153441
2022-03-19,0.1228,0.13,0.1225,0.1253,2687933,2687933
2022-03-20,0.1253,0.157,0.1212,0.1274,9103563,9103563
2022-03-21,0.1273,0.1331,0.1245,0.1256,2213076,2213076
2022-03-22,0.1256,0.1307,0.1252,0.1261,1611566,1611566
2022-03-23,0.1262,0.1272,0.1237,0.1265,1642346,1642346
2022-03-24,0.1264,0.159,0.1253,0.1346,17529208,17529208
2022-03-25,0.1346,0.155,0.1345,0.1366,10820995,10820995
2022-03-26,0.1367,0.153,0.1351,0.1502,3646619,3646619
2022-03-27,0.1501,0.1537,0.1434,0.1524,2687423,2687423
2022-03-28,0.1524,0.2488,0.1513,0.1829,63090549,63090549
2022-03-29,0.1829,0.219,0.1708,0.1741,46346701,46346701
2022-03-30,0.174,0.1897,0.1703,0.1768,8807789,8807789
2022-03-31,0.1767,0.222,0.1767,0.1996,28117749,28117749
2022-04-01,0.1997,0.2019,0.1715,0.179,14039819,14039819
